# rho       1e5ptcls      2e5ptcls      5e5ptcls     1e6ptcls
5.15000e-01 1.36450e+19 1.42190e+19 1.41670e+19 1.44150e+19
5.20000e-01 1.35260e+19 1.42730e+19 1.38250e+19 1.50430e+19
5.25000e-01 1.37420e+19 1.56550e+19 1.47360e+19 1.44850e+19
5.30000e-01 1.40760e+19 1.42570e+19 1.50080e+19 1.46430e+19
5.35000e-01 1.54640e+19 1.44590e+19 1.44690e+19 1.47150e+19
5.40000e-01 1.48120e+19 1.44880e+19 1.42870e+19 1.47150e+19
5.45000e-01 1.58360e+19 1.44870e+19 1.45000e+19 1.48180e+19
5.50000e-01 1.48270e+19 1.47340e+19 1.49340e+19 1.52040e+19
5.55000e-01 1.43280e+19 1.42750e+19 1.50130e+19 1.47580e+19
5.60000e-01 1.60380e+19 1.56120e+19 1.54530e+19 1.51820e+19
5.65000e-01 1.60620e+19 1.56230e+19 1.41780e+19 1.51070e+19
5.70000e-01 1.56760e+19 1.52780e+19 1.54200e+19 1.51880e+19
5.75000e-01 1.47860e+19 1.59940e+19 1.51250e+19 1.54280e+19
5.80000e-01 1.55290e+19 1.55440e+19 1.52570e+19 1.54830e+19
5.85000e-01 1.51520e+19 1.58970e+19 1.61190e+19 1.55420e+19
5.90000e-01 1.65480e+19 1.60600e+19 1.51500e+19 1.60700e+19
5.95000e-01 1.61030e+19 1.51290e+19 1.57270e+19 1.54850e+19
6.00000e-01 1.65190e+19 1.53710e+19 1.58770e+19 1.54770e+19
6.05000e-01 1.52790e+19 1.61050e+19 1.54110e+19 1.60610e+19
6.10000e-01 1.62140e+19 1.65190e+19 1.59720e+19 1.61630e+19
6.15000e-01 1.66210e+19 1.57860e+19 1.57070e+19 1.62540e+19
6.20000e-01 1.79870e+19 1.68230e+19 1.60630e+19 1.62240e+19
6.25000e-01 1.75070e+19 1.63730e+19 1.63940e+19 1.66300e+19
6.30000e-01 1.77880e+19 1.55070e+19 1.62470e+19 1.63400e+19
6.35000e-01 1.61910e+19 1.53330e+19 1.62550e+19 1.67570e+19
6.40000e-01 1.56770e+19 1.61710e+19 1.65920e+19 1.68530e+19
6.45000e-01 1.56030e+19 1.72170e+19 1.68660e+19 1.67670e+19
6.50000e-01 1.70070e+19 1.72770e+19 1.70620e+19 1.70300e+19
6.55000e-01 1.62850e+19 1.64350e+19 1.63180e+19 1.71770e+19
6.60000e-01 1.76380e+19 1.70160e+19 1.72310e+19 1.70790e+19
6.65000e-01 1.61510e+19 1.75970e+19 1.75160e+19 1.72100e+19
6.70000e-01 1.72740e+19 1.73300e+19 1.72590e+19 1.73910e+19
6.75000e-01 1.77390e+19 1.75980e+19 1.76160e+19 1.70990e+19
6.80000e-01 1.70970e+19 1.70410e+19 1.74860e+19 1.77360e+19
6.85000e-01 1.82280e+19 1.81690e+19 1.76770e+19 1.78320e+19
6.90000e-01 1.78330e+19 1.84420e+19 1.81420e+19 1.79710e+19
6.95000e-01 1.84360e+19 1.82850e+19 1.73350e+19 1.77960e+19
7.00000e-01 1.76800e+19 1.78820e+19 1.85840e+19 1.84340e+19
7.05000e-01 1.93580e+19 1.81740e+19 1.80440e+19 1.85950e+19
7.10000e-01 1.76940e+19 1.89970e+19 1.84450e+19 1.87250e+19
7.15000e-01 1.88650e+19 1.77640e+19 1.87720e+19 1.87930e+19
7.20000e-01 1.85400e+19 1.90330e+19 1.84630e+19 1.81540e+19
